root_number;root_form;mphl;norm;par_index;class;extent;reference
933;сяг;до.(сяг).н.й.т.и;досягнйти;5;v;;
992;тък;съ.(тък).а.т.и;сътъкати;3o;v;;660
724;пряг;съ.(пряг).т.и;съпрящи;4c;v;;698
1;ЁавЛ;(ЁавЛ).а.т.и;АвЛАти//;7;v;;655
1;ЁавЛ;(ЁавЛ).ен.ьЁ.е;АвЛЕниЕ//;2/n;n;;655
1;Ёав;(Ёав).и.т.и;Авити//;1;v;;655
1113;эд;(ёэд).ен.ьЁ.е;АдениЕ;2/n;n;;839
1113;эд;(ёэд).ов.ит.ъ;Адовитъ;2/a;a;;839
1115;эдр;(ёэдр).а;Адра;2/n;n;;655
1115;эдр;(ёэдр).о;Адро;2/n;n;;655
1113;эд;(ёэд).ъ;Адъ;2/m;n;;839
1113;эд;(ёэд).ь;Адь;1/f;n;;839
1113;эд;(ёэд).ьц.а;Адьца;2/f;n;;839
344;ЁазвЛ;(ЁазвЛ).а.т.и;АзвЛАти;7;v;;
344;Ёазв;(Ёазв).а;Азва;2/f;n;;
344;Ёазв;(Ёазв).ин.а;Азвина;2/f;n;;
344;Ёазв;(Ёазв).и.т.и;Азвити;1;v;;
344;Ёазв;(Ёазв).ьн.ъ;Азвьнъ;2/a;a;;
343;Ё;(Ё).ак.ъ;Акъ;2/p;;;790
345;Ёам;(Ёам).а;Ама;2/f;n;;
345;Ёам;(Ёам).ьн.ъ;Амьнъ;2/a;a;;
346;Ёар;(Ёар).и.т.и;Арити;1;v;;
346;Ёар;(Ёар).ост.ь;Арость;1/f;n;;
346;Ёар;(Ёар).ъ;Аръ;2/a;a;;
347;Ёар;(Ёар).ьм.ъ;Арьмъ;2/m;n;;
347;Ёар;(Ёар).ьм.ьн.ик.ъ;Арьмьникъ;2/m;n;;
347;Ёар;(Ёар).ьм.ьн.ич.ь;Арьмьничь;2/a;a;;
1113;эд;(ёэд).т.л.и;Асли;1/f;n;;839
349;Ёасн;(Ёасн).ъ;Аснъ;2/a;a;;
1113;эд;(ёэд).т.и;Асти;0;v;;839
1114;э;(ёэ).т.и;Ати;0;v;;840
1113;э;(ёэ).т.о;Ато;2/n;n;;839
;;;Ахати;;v;см. Ати;
350;Ёед;(Ёед).иН.ен.ьЁ.е;ЕдиНЕниЕ;2/n;n;;791
350;Ёед;(Ёед).ин.ак.ъ;Единакъ//;2/p;;;791
350;Ёед;(Ёед).ин.ач.ьн.ъ;Единачьнъ;2/a;a;;791
350;Ёед;(Ёед).ин.ъ;Единъ//;2/p;;;791
350;Ёед;(Ёед).ин.ьств.о;Единьство;2/n;n;;791
350;Ёед;(Ёед).ьн.ак.ъ;Едьнакъ//;2/p;;;791
350;Ёед;(Ёед).ьн.ъ;Едьнъ//;2/p;;;791
351;Ёезер;((Ёезер)).о;Езеро;2/n;n;;
352;Ёел;(Ёел).еН.ь;ЕлеНь;2/a;a;;
352;Ёел;(Ёел).ен.ь;Елень;1/m;n;;
343;Ёел;((Ёел)).ик.ъ;Еликъ;2/p;;;790
276;ес;;Есмь;0;v;см. п. 539;824
276;ес;(ёес).т.ьств.ьЁ.е;ЕстьствиЕ;2/n;n;;824
276;ес;(ёес).т.ьств.о;Естьство;2/n;n;;824
276;ес;(ёес).т.ьств.ьн.ъ;Естьствьнъ;2/a;a;;824
343;Ёетер;((Ёетер)).ъ;Етеръ;2/a;a;;790
305;Звэзд;(Звэзд).а;Звэзда;2/f;n;;62
306;Зэл;(Зэл).о;Зэло;2/a;a;;
373;кес;(кес).аР.ев.ъ;кесаРЕвъ;2/a;a;;
373;кес;(кес).аР.ь;кесаРь;2/m+;n;;
530;ЛубЛ;(ЛубЛ).ен.ьЁ.е;ЛюбЛЕниЕ;2/n;n;;
530;ЛубЛ;(ЛубЛ).ен.ик.ъ;ЛюбЛЕникъ;2/m;n;;
530;Луб;(Луб).ив.ъ;Любивъ;2/a;a;;
530;Луб;(Луб).и.т.и;Любити;1;v;;
530;Луб;(Луб).ъ;Любъ;2/a;a;;
530;Луб;(Луб).ъв.ьн.ъ;Любъвьнъ;2/a;a;;
530;Луб;(Луб).ы;Любы;0/f;n;;
530;Луб;(Луб).ьзн.ъ;Любьзнъ;2/a;a;;
530;Луб;(Луб).ьн.ъ;Любьнъ;2/a;a;;
531;Луд;(Луд).ьЁ.е;ЛюдиЕ;1/m;n;;
