id;root_number;root_form;mphl;norm;par_index;class;extent;reference;;
80;358;jѧч;(jѧч).ьн.ѣн.ъ;ѩчьнѣнъ;2/a;a;;;;
79;358;jѧч;(jѧч).ьн.ъ;ѩчьнъ;2/a;a;;;;
78;334;ѧ;(i̯ѧ).т.ьj.е;ѩтиѥ;2/n;n;;655; 691;
77;334;ѧ;(i̯ѧ).т.и;ѩти;4h;v;;655; 691;
71;356;jѧѕ;(jѧѕ).а;ѩѕа;2/f;n;;;;
76;357;jѧзыч;((jѧзыч)).ьск.ъ;ѩзычьскъ;2/a;a;;;;
75;357;jѧзыч;((jѧзыч)).ьн.ъ;ѩзычьнъ;2/a;a;;;;
74;357;jѧзыч;((jѧзыч)).ьн.ик.ъ;ѩзычьникъ;2/m;n;;;;
73;357;jѧзык;((jѧзык)).ъ;ѩзыкъ;2/m;n;;;;
72;355;jѧдр;(jѧдр).ъ;ѩдръ;2/a;a;;;;
1883;1001;тьл;ѫ.(тьл).ъ;ѫтьлъ;2/a;a;;;;
1882;1120;ѫтр;(ѫтр).ьн҄.ь;ѫтрьн҄ь;2/a;a;;;;
1881;1120;ѫтр;(ѫтр).об.ьн.ъ;ѫтробьнъ;2/a;a;;;;
1880;1120;ѫтр;(ѫтр).об.а;ѫтроба;2/f;n;;;;
1879;803;соб;ѫ.(соб).иц.а;ѫсобица;2/f;n;;800;;
1878;755;род;ѫ.(род).ьств.ов.а.т.и;ѫродьствовати;6;v;;657;;
1877;755;род;ѫ.(род).ьств.о;ѫродьство;2/n;n;;657;;
1876;755;род;ѫ.(род).ьск.ъ;ѫродьскъ;2/a;a;;657;;
1875;755;род;ѫ.(род).ьн.ъ;ѫродьнъ;2/a;a;;657;;
1874;755;род;ѫ.(род).ъ;ѫродъ;2/m;n;;657;;
1873;755;род;ѫ.(род).ов.а.т.и;ѫродовати;6;v;;657;;
1872;755;род;ѫ.(род).и.т.и;ѫродити;1;v;;657;;
1871;755;род;ѫ.(род).ив.ъ;ѫродивъ;2/a;a;;657;;
1870;148;ѫз;(ѫз).ьн.ик.ъ;ѫзьникъ;2/m;n;;655; 817;
1869;148;ѫз;(ѫз).ък.ъ;ѫзъкъ;2/a;a;;655; 817;
1868;148;ѫз;(ѫз).и.л.ищ.е;ѫзилище;2/n;n;;655; 817;
1867;148;ѫз;(ѫз).а;ѫза;2/f;n;;655; 817;
1866;148;ѫж;(ѫж).ьн.ик.ъ;ѫжьникъ;2/m;n;;655; 817;
1865;148;ѫж;(ѫж).ич.ьств.о;ѫжичьство;2/n;n;;655; 817;
1864;148;ѫж;(ѫж).ик.а;ѫжика;2/f;n;;655; 817;
1863;148;ѫж;(ѫж).е;ѫже;2/n;n;;655; 817;
1862;238;дол;ѫ.(дол).ь;ѫдоль;1/f;n;;;;
1861;238;дол;ѫ.(дол).ьj.е;ѫдолиѥ;2/n;n;;;;
1860;1119;ѫд;(ѫд).иц.а;ѫдица;2/f;n;;;;
1859;1117;ѫг;(ѫг).ъл.ьн.ъ;ѫгъльнъ;2/a;a;;;;
6351;1117;ѫг;(ѫг).ъл.ъ;ѫгълъ;2/m;n;;;;
1858;1118;ѫгл;(ѫгл).ь;ѫгль;1/m;n;;;;
49;343;jетер;((jетер)).ъ;ѥтеръ;2/a;a;;790;;
48;276;ес;(i̯ес).т.ьств.ьн.ъ;ѥстьствьнъ;2/a;a;;824;;
47;276;ес;(i̯ес).т.ьств.о;ѥстьство;2/n;n;;824;;
46;276;ес;(i̯ес).т.ьств.ьj.е;ѥстьствиѥ;2/n;n;;824;;
45;276;ес;;ѥсмь;0;v;см. п. 539;824;;
44;343;jел;((jел)).ик.ъ;ѥликъ;2/p;a;;790;;
42;352;jел;(jел).ен҄.ь;ѥлен҄ь;2/a;a;;;;
43;352;jел;(jел).ен.ь;ѥлень;1/m;n;;;;
41;351;jезер;((jезер)).о;ѥзеро;2/n;n;;;;
40;350;jед;(jед).ьн.ъ;ѥдьнъ//;2/p;a;;791;;
39;350;jед;(jед).ьн.ак.ъ;ѥдьнакъ//;2/p;a;;791;;
34;350;jед;(jед).ин҄.ен.ьj.е;ѥдин҄ѥниѥ;2/n;n;;791;;
38;350;jед;(jед).ин.ьств.о;ѥдиньство;2/n;n;;791;;
37;350;jед;(jед).ин.ъ;ѥдинъ//;2/p;a;;791;;
36;350;jед;(jед).ин.ач.ьн.ъ;ѥдиначьнъ;2/a;a;;791;;
35;350;jед;(jед).ин.ак.ъ;ѥдинакъ//;2/p;a;;791;;
33;;;;ꙗхати;;;см. ꙗти;;;
32;1113;ѣ;(i̯ѣ).т.о;ꙗто;2/n;n;;839;;
31;1114;ѣ;(i̯ѣ).т.и;ꙗти;0;v;;840;;
30;1113;ѣд;(i̯ѣд).т.и;ꙗсти;0;v;;839;;
29;349;jасн;(jасн).ъ;ꙗснъ;2/a;a;;;;
28;1113;ѣд;(i̯ѣд).т.л.и;ꙗсли;1/f;n;;839;;
27;347;jар;(jар).ьм.ьн.ич.ь;ꙗрьмьничь;2/a;a;;;;
26;347;jар;(jар).ьм.ьн.ик.ъ;ꙗрьмьникъ;2/m;n;;;;
25;347;jар;(jар).ьм.ъ;ꙗрьмъ;2/m;n;;;;
