new_id;root_bogdan;root_form;mpnl;norm;par_index;extent;Reference
39;933;сяг;до.(сяг).н.й.т.и;досягнйти;5;;
47;992;тък;съ.(тък).а.т.и;сътъкати;3°;;660
51;724;пряг;съ.(пряг).т.и;съпрящи;4c;;698
57;1;ЁавЛ;(ЁавЛ).а.т.и;АвЛАти//;7;;655
58;1;ЁавЛ;(ЁавЛ).ен.ьЁ.е;АвЛЕниЕ//;2/n;;655
59;1;Ёав;(Ёав).и.т.и;Авити//;1;;655
63;1113;эд;(ёэд).ен.ьЁ.е;АдениЕ;2/n;;839
64;1113;эд;(ёэд).ов.ит.ъ;Адовитъ;2/a;;839
65;1115;эдр;(ёэдр).а;Адра;2/n;;655
66;1115;эдр;(ёэдр).о;Адро;2/n;;655
67;1113;эд;(ёэд).ъ;Адъ;2/m;;839
68;1113;эд;(ёэд).ь;Адь;1/f;;839
69;1113;эд;(ёэд).ьц.а;Адьца;2/f;;839
70;344;ЁазвЛ;(ЁазвЛ).а.т.и;АзвЛАти;7;;
71;344;Ёазв;(Ёазв).а;Азва;2/f;;
72;344;Ёазв;(Ёазв).ин.а;Азвина;2/f;;
73;344;Ёазв;(Ёазв).и.т.и;Азвити;1;;
74;344;Ёазв;(Ёазв).ьн.ъ;Азвьнъ;2/a;;
78;343;Ё;(Ё).ак.ъ;Акъ;2/p;;790
82;345;Ёам;(Ёам).а;Ама;2/f;;
84;345;Ёам;(Ёам).ьн.ъ;Амьнъ;2/a;;
85;346;Ёар;(Ёар).и.т.и;Арити;1;;
86;346;Ёар;(Ёар).ост.ь;Арость;1/f;;
88;346;Ёар;(Ёар).ъ;Аръ;2/a;;
89;347;Ёар;(Ёар).ьм.ъ;Арьмъ;2/m;;
90;347;Ёар;(Ёар).ьм.ьн.ик.ъ;Арьмьникъ;2/m;;
91;347;Ёар;(Ёар).ьм.ьн.ич.ь;Арьмьничь;2/a;;
92;1113;эд;(ёэд).т.л.и;Асли;1/f;;839
93;349;Ёасн;(Ёасн).ъ;Аснъ;2/a;;
94;1113;эд;(ёэд).т.и;Асти;0;;839
95;1114;э;(ёэ).т.и;Ати;0;;840
96;1113;э;(ёэ).т.о;Ато;2/n;;839
98;;;;Ахати;;см. Ати;
104;350;Ёед;(Ёед).иН.ен.ьЁ.е;ЕдиНЕниЕ;2/n;;791
105;350;Ёед;(Ёед).ин.ак.ъ;Единакъ//;2/p;;791
107;350;Ёед;(Ёед).ин.ач.ьн.ъ;Единачьнъ;2/a;;791
110;350;Ёед;(Ёед).ин.ъ;Единъ//;2/p;;791
121;350;Ёед;(Ёед).ин.ьств.о;Единьство;2/n;;791
123;350;Ёед;(Ёед).ьн.ак.ъ;Едьнакъ//;2/p;;791
127;350;Ёед;(Ёед).ьн.ъ;Едьнъ//;2/p;;791
145;351;Ёезер;((Ёезер)).о;Езеро;2/n;;
146;352;Ёел;(Ёел).еН.ь;ЕлеНь;2/a;;
147;352;Ёел;(Ёел).ен.ь;Елень;1/m;;
151;343;Ёел;((Ёел)).ик.ъ;Еликъ;2/p;;790
161;276;ес;;Есмь;0;см. п. 539;824
162;276;ес;(ёес).т.ьств.ьЁ.е;ЕстьствиЕ;2/n;;824
163;276;ес;(ёес).т.ьств.о;Естьство;2/n;;824
164;276;ес;(ёес).т.ьств.ьн.ъ;Естьствьнъ;2/a;;824
165;343;Ёетер;((Ёетер)).ъ;Етеръ;2/a;;790
168;305;Звэзд;(Звэзд).а;Звэзда;2/f;;62
172;306;Зэл;(Зэл).о;Зэло;2/a;;
175;373;кес;(кес).аР.ев.ъ;кесаРЕвъ;2/a;;
176;373;кес;(кес).аР.ь;кесаРь;2/m*;;
178;530;ЛубЛ;(ЛубЛ).ен.ьЁ.е;ЛюбЛЕниЕ;2/n;;
179;530;ЛубЛ;(ЛубЛ).ен.ик.ъ;ЛюбЛЕникъ;2/m;;
180;530;Луб;(Луб).ив.ъ;Любивъ;2/a;;
181;530;Луб;(Луб).и.т.и;Любити;1;;
213;530;Луб;(Луб).ъ;Любъ;2/a;;
214;530;Луб;(Луб).ъв.ьн.ъ;Любъвьнъ;2/a;;
215;530;Луб;(Луб).ы;Любы;0/f;;
216;530;Луб;(Луб).ьзн.ъ;Любьзнъ;2/a;;
217;530;Луб;(Луб).ьн.ъ;Любьнъ;2/a;;
218;531;Луд;(Луд).ьЁ.е;ЛюдиЕ;1/m;;
221;531;Луд;(Луд).ьск.ъ;Людьскъ;2/a;;
222;532;Лут;(Лут).о;Люто;2/n;;
225;532;Лут;(Лут).ост.ь;Лютость;1/f;;
226;532;Лут;(Лут).ъ;Лютъ;2/a;;
227;532;Лут;(Лут).ьц.ь;Лютьць;2/m;;
228;622;Нив;(Нив).а;Нива;2/f;;
229;622;Нив;(Нив).ьн.ъ;Нивьнъ;2/a;;
233;356;ЁяЗ;(ЁяЗ).а;ЯЗа;2/f;;
236;355;Ёядр;(Ёядр).ъ;Ядръ;2/a;;
238;357;Ёязык;((Ёязык)).ъ;Языкъ;2/m;;
239;357;Ёязыч;((Ёязыч)).ьн.ик.ъ;Язычьникъ;2/m;;
240;357;Ёязыч;((Ёязыч)).ьн.ъ;Язычьнъ;2/a;;
241;357;Ёязыч;((Ёязыч)).ьск.ъ;Язычьскъ;2/a;;
242;334;я;(ёя).т.и;Яти;4h;;655, 691
243;334;я;(ёя).т.ьЁ.е;ЯтиЕ;2/n;;655, 691
244;358;Ёяч;(Ёяч).ьн.ъ;Ячьнъ;2/a;;
245;358;Ёяч;(Ёяч).ьн.эн.ъ;Ячьнэнъ;2/a;;
252;1;авЛ;(авЛ).а.т.и;авЛАти//;7;;655
253;1;авЛ;(авЛ).ен.ьЁ.е;авЛЕниЕ//;2/n;;655
254;1;ав;(ав).и.т.и;авити//;1;;655
255;2;авор;((авор)).ов.ъ;аворовъ;2/a;;
257;3;агн;(агн).ьц.ь;агньць;2/m;;655
258;3;агн;(агн).я;агня;0/n;;655
259;4;агод;((агод)).а;агода;2/f;;
260;7;аз;(аз).ъ;азъ;0/s;;786
261;8;аЁ;(аЁ).ьц.е;аице;2/n;;
269;9;алък;(алък).а.т.и;алъкати;3;;807
270;9;алъч;(алъч).ьб.а;алъчьба;2/f;;807
271;9;алъч;(алъч).ьб.ьн.ъ;алъчьбьнъ;2/a;;807
278;13;ащер;((ащер)).ъ;ащеръ;2/m;;
279;36;бЛьв;(бЛьв).а.т.и;бЛьвати;3h%*;;702
280;36;бЛьв;(бЛьв).от.ин.а;бЛьвотина;2/f;;702
283;35;бЛуд;(бЛуд).ъ;бЛюдъ;2/m;;
284;34;бЛуд;(бЛуд).т.и;бЛюсти;4c;;704
285;19;баН;(баН).а;баНА;2/f;;
287;15;баб;(баб).а;баба;2/f;;
288;17;багър;((багър)).и.т.и;багърити;1;;
289;17;багър;((багър)).ъ;багъръ;2/m;;
290;17;багър;((багър)).эн.иц.а;багърэница;2/f;;
291;14;ба;(ба).л.ьЁ.и;балии;2/f*;;
292;14;ба;(ба).л.ов.а.н.ьЁ.е;балованиЕ;2/n;;
293;14;ба;(ба).л.ьств.о;бальство;2/n;;
294;21;бедр;(бедр).а;бедра;2/f;;
295;20;бедр;(бедр).ьн.ъ;бедрьнъ;2/a;;
297;408;коН;без.за.(коН).ен.ьЁ.е;безакоНЕниЕ;2/n;;
298;408;кон;без.за.(кон).ьЁ.е;безакониЕ;2/n;;
300;408;кон;без.за.(кон).ьн.ьЁ.е;безаконьниЕ;2/n;;
301;408;кон;без.за.(кон).ьн.ик.ъ;безаконьникъ;2/m;;
302;408;кон;без.за.(кон).ьн.ов.а.т.и;безаконьновати;6;;
303;408;кон;без.за.(кон).ьн.ъ;безаконьнъ;2/a;;
304;38;боЁ;без.(боЁ).э.зн.ьЁ.е;безбоАзниЕ;2/n;;
305;37;бож;без.(бож).ьн.ъ;безбожьнъ;2/a;;
306;37;бож;без.(бож).ьств.о;безбожьство;2/n;;
307;48;браш;без.(браш).ьн.ъ;безбрашьнъ;2/a;;
308;70;бэд;без.(бэд).ьн.ъ;безбэдьнъ;2/a;;
